,Material No,Matl Group,MG 1,MG 2,MG 3,WidthXThk,PROFILE,COLOUR,LOCK MAKE,Design
0,1232975,0,1,1,1,776,0,16,6,PLAINSTEEL
1,1208180,1,1,1,1,776,0,7,6,
2,1232973,0,1,1,1,175,0,16,6,PLAINSTEEL
3,1278232,1,0,0,1,175,0,7,12,E32
4,1232976,0,1,1,1,776,0,16,6,PLAINSTEEL
5,1279425,1,0,0,1,175,0,7,12,E32
6,1232982,0,1,1,1,786,0,16,6,PLAINSTEEL
7,1278287,1,0,0,1,185,0,7,12,E32
8,1207881,1,1,1,1,175,0,7,6,
9,1208798,1,1,1,1,175,0,7,6,
10,1209394,1,1,1,1,599,0,7,6,
11,1258381,1,1,1,1,591,2,7,6,PLAINWOOD
12,1267781,1,0,0,1,822,2,7,12,E32
13,1208211,1,1,1,1,822,2,7,21,
14,1207782,1,1,1,1,822,2,7,21,E32
15,1233086,0,0,0,1,26,2,7,6,PLAINWOOD
16,1278094,1,0,0,1,26,8,7,12,E18
17,1209331,1,1,1,1,599,2,7,6,
18,1232981,0,1,1,1,786,0,16,6,PLAINSTEEL
19,1233501,0,1,1,1,786,0,16,21,PLAINSTEEL
20,1233199,0,1,1,1,175,0,8,6,PLAINWOOD
21,1232972,0,1,1,1,175,0,16,6,PLAINSTEEL
22,1208179,1,1,1,1,776,0,7,6,
23,1278296,1,0,0,1,317,0,7,12,E32
24,1278322,1,0,0,1,175,0,8,12,E32
25,1227002,0,1,1,1,776,0,8,6,E32
26,1208788,1,1,1,1,175,0,7,6,E32
27,1232974,0,1,1,1,185,0,16,6,PLAINSTEEL
28,1278223,1,0,0,1,175,0,8,12,E32
29,1279727,1,0,0,1,175,0,7,6,E32
30,1233449,0,1,1,1,552,0,16,6,PLAINSTEEL
31,1278286,1,0,0,1,175,0,25,12,PLAINSTEEL
32,1278142,1,0,0,1,317,0,7,6,E05
33,1278233,1,0,0,1,776,0,25,12,PLAINSTEEL
34,1207793,1,1,1,1,822,2,7,21,
35,1207785,1,1,1,1,822,2,7,21,E32
36,1260938,1,1,1,1,591,2,7,6,PLAINWOOD
37,1207777,1,0,0,1,26,2,7,6,E32
38,1267787,1,0,0,1,26,2,7,12,E32
39,1233092,0,0,0,0,26,2,7,6,PLAINWOOD
40,1279405,1,0,0,1,219,8,7,6,E18
41,1267942,1,0,0,0,26,2,7,12,PLAINWOOD
42,1233129,0,0,0,0,822,2,7,6,PLAINWOOD
43,1209330,1,1,1,1,599,2,7,6,
44,1267773,1,0,0,1,26,2,7,12,E01
45,1267782,1,0,0,1,26,2,7,12,E18
46,1267784,1,0,0,1,26,2,7,12,E32
47,1267837,1,0,0,1,822,2,7,12,E32
48,1278174,1,0,0,1,219,2,7,12,E18
49,1233370,0,0,0,1,26,2,7,6,PLAINWOOD
50,1207891,1,1,1,1,776,0,1,6,
51,1278065,1,0,0,1,317,0,7,6,E32
52,1233465,0,1,1,1,786,0,1,21,PLAINWOOD
53,1279616,1,0,0,1,762,0,7,6,E32
54,1208789,1,1,1,1,175,0,7,6,E32
55,1233198,0,1,1,1,776,0,8,6,PLAINWOOD
56,1283220,1,0,0,1,317,0,7,6,E32
57,1207890,1,1,1,1,776,0,1,6,
58,1233399,0,1,1,1,185,0,16,6,PLAINSTEEL
59,1278051,1,0,0,1,776,0,7,12,E32
60,1208178,1,1,1,1,776,0,0,6,
61,1234759,0,1,1,1,776,0,8,6,PLAINWOOD
62,1279472,1,0,0,1,175,0,1,12,E32
63,1278228,1,0,0,1,317,0,7,6,E18
64,1279477,1,0,0,1,317,0,7,6,E18
65,1278325,1,0,0,1,317,0,7,12,E32
66,1262952,1,1,1,1,776,0,7,6,E18
67,1278067,1,0,0,1,317,0,7,6,E05
68,1279649,1,0,0,1,185,0,8,12,E32
69,1233202,0,1,1,1,786,0,8,6,PLAINWOOD
70,1233396,0,1,1,1,51,0,16,6,PLAINSTEEL
71,1278229,1,0,0,1,765,0,25,6,PLAINSTEEL
72,1279742,1,0,0,1,151,0,7,6,E32
73,1278298,1,0,0,1,175,0,7,12,PLAINWOOD
74,1278145,1,0,0,1,175,0,7,6,E05
75,1278148,1,0,0,1,317,0,7,6,E01
76,1233081,0,1,1,1,822,2,7,21,PLAINWOOD
77,1278092,1,0,0,1,219,8,7,12,E18
78,1278210,1,0,0,0,26,2,7,6,PLAINWOOD
79,1267788,1,0,0,1,822,2,7,12,E32
