,Pstng.Date,Account,Local.Crcy.Amt
15,30-09-18,928860,0.23
16,30-09-18,928860,0.05
17,30-09-18,928860,0.12
18,30-09-18,928860,0.16
19,29-09-18,928860,0.14
20,29-09-18,928860,0.14
21,29-09-18,928860,0.14
22,29-09-18,928860,0.15
23,29-09-18,928860,0.15
24,27-09-18,928860,0.15
25,25-09-18,928860,0.17
26,25-09-18,928860,0.17
27,31-10-18,928860,0.27
28,31-10-18,928860,0.26
29,31-10-18,928860,0.2
30,27-10-18,928860,0.2
31,26-10-18,928860,0.17
32,19-10-18,928860,0.15
33,19-10-18,928860,0.15
34,19-10-18,928860,0.15
35,19-10-18,928860,0.15
36,19-10-18,928860,0.15
37,19-10-18,928860,0.15
38,28-10-18,928860,0.14
39,11-10-18,928860,0.14
40,18-10-18,928860,0.12
41,31-10-18,928860,0.11
42,31-10-18,928860,0.11
43,27-10-18,928860,0.11
44,06-10-18,928860,0.09
45,05-10-18,928860,0.09
46,26-10-18,928860,0.05
47,28-10-18,928860,0.04
48,31-10-18,928860,0.04
49,30-11-18,928860,0.16
50,28-11-18,928860,0.16
51,27-11-18,928860,0.09
52,27-11-18,928860,0.09
53,24-11-18,928860,0.15
54,24-11-18,928860,0.16
55,24-11-18,928860,0.08
56,23-11-18,928860,0.16
57,23-11-18,928860,0.16
58,23-11-18,928860,0.16
59,23-11-18,928860,0.16
60,23-11-18,928860,0.21
61,16-11-18,928860,0.16
62,16-11-18,928860,0.16
63,30-11-18,928860,0.13
64,16-11-18,928860,0.12
65,31-12-18,928860,0.12
66,31-12-18,928860,0.12
67,31-12-18,928860,0.15
68,31-12-18,928860,0.15
69,13-12-18,928860,0.1
70,13-12-18,928860,0.04
71,18-12-18,928860,0.15
72,18-12-18,928860,0.27
73,19-12-18,928860,0.15
74,19-12-18,928860,0.15
75,19-12-18,928860,0.3
76,21-12-18,928860,0.12
77,22-12-18,928860,0.15
78,22-12-18,928860,0.13
79,26-12-18,928860,0.26
80,28-12-18,928860,0.13
81,05-12-18,928860,0.06
82,10-10-18,928860,0.13
88,19-10-18,928860,0.15
89,01-12-18,928860,0.15
92,19-09-18,928053,0.17
93,10-08-18,928053,0.07
94,08-08-18,928053,0.21
95,31-07-18,928053,0.23
96,13-06-18,928053,0.16
97,23-05-18,928053,0.08
98,16-05-18,928053,0.09
99,16-05-18,928053,0.07
100,16-05-18,928053,0.09
101,16-05-18,928053,0.09
102,15-05-18,928053,0.17
