BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,No Delay,0 to 10,>=10
9600,BPR,2452147712.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.12,0,Z001,Cash,64968956,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.28,2,No Delay,0.61,0.32,0.08
1000,BPR,2452147753.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.15,0,Z001,Cash,64972266,22.12.2018,Dec,22-12-18,22-12-18,1221001,2019,0.28,2,No Delay,0.6,0.34,0.06
9600,BPR,2202500071.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.13,0,Z001,Cash,64972673,22.12.2018,Dec,22-12-18,22-12-18,1221001,2019,0.28,2,No Delay,0.47,0.42,0.11
9600,BPR,2452147858.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.26,0,Z001,Cash,64985176,26.12.2018,Dec,26-12-18,26-12-18,1221001,2019,0.0,0,No Delay,0.76,0.2,0.05
9600,BPR,4130037272.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.16,1,Z001,Cash,64967296,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.9,5,No Delay,0.66,0.31,0.02
9600,BPR,4130037270.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.16,1,Z001,Cash,64967290,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.9,5,No Delay,0.66,0.31,0.02
9600,BPR,4130037275.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.16,1,Z001,Cash,64967320,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.9,5,No Delay,0.66,0.31,0.02
9600,BPR,4130037269.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.16,1,Z001,Cash,64967281,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.9,5,No Delay,0.66,0.31,0.02
9600,BPR,4130037268.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.16,1,Z001,Cash,64967278,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.9,5,No Delay,0.66,0.31,0.02
9600,BPR,4130037262.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.16,1,Z001,Cash,64967125,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.9,5,No Delay,0.66,0.31,0.02
