BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,Low delay,Medium Delay,High Delay
1000,BPR,4132000216.0,929488,KAUSALYA AGENCIES,South,SBAD,RV,0.1,-5,ZZ36,Credit,63008692,31.12.2018,Dec,31-12-18,05-01-19,1221001,2019,0.0,0,0 to 10,0.26,0.49,0.25
1000,BPR,2412160828.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.14,0,ZZ41,Credit,64953688,16.12.2018,Dec,16-12-18,26-12-18,1221001,2019,0.0,0,0 to 10,0.21,0.75,0.04
1000,BPR,2412161455.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.14,-1,ZZ41,Credit,64957593,17.12.2018,Dec,17-12-18,27-12-18,1221001,2019,0.14,1,0 to 10,0.34,0.61,0.05
1000,BPR,2412166200.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.17,5,ZZ41,Credit,63004701,30.12.2018,Dec,30-12-18,09-01-19,1221001,2019,0.0,0,0 to 10,0.13,0.84,0.03
1000,BPR,2412166206.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.14,5,ZZ41,Credit,63004708,30.12.2018,Dec,30-12-18,09-01-19,1221001,2019,0.0,0,0 to 10,0.14,0.84,0.03
1000,BPR,2412166209.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.12,5,ZZ41,Credit,63004711,30.12.2018,Dec,30-12-18,09-01-19,1221001,2019,0.0,0,0 to 10,0.14,0.83,0.03
1000,BPR,2426908610.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.15,-7,ZZ41,Credit,64916074,04.12.2018,Dec,04-12-18,14-12-18,1221001,2019,0.15,1,0 to 10,0.26,0.59,0.15
1000,BPR,2426908617.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.14,-4,ZZ41,Credit,64916580,05.12.2018,Dec,05-12-18,15-12-18,1221001,2019,0.3,2,0 to 10,0.23,0.62,0.16
2500,BPR,2410325287.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.12,0,Z001,Cash,63008160,31.12.2018,Dec,31-12-18,31-12-18,1221001,2019,0.43,3,No Delay,0.56,0.38,0.06
2500,BPR,2410325295.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.12,0,Z001,Cash,63009140,31.12.2018,Dec,31-12-18,31-12-18,1221001,2019,0.43,3,No Delay,0.56,0.38,0.06
1000,BPR,2452148157.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.15,0,Z001,Cash,63009281,31.12.2018,Dec,31-12-18,31-12-18,1221001,2019,0.43,3,No Delay,0.69,0.26,0.05
1000,BPR,2452148156.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.15,0,Z001,Cash,63009263,31.12.2018,Dec,31-12-18,31-12-18,1221001,2019,0.43,3,No Delay,0.69,0.26,0.05
9600,BPR,2452147529.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.1,0,Z001,Cash,64944140,13.12.2018,Dec,13-12-18,13-12-18,1221001,2019,0.0,0,No Delay,0.75,0.18,0.07
9600,BPR,2452147528.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.04,0,Z001,Cash,64944139,13.12.2018,Dec,13-12-18,13-12-18,1221001,2019,0.0,0,No Delay,0.75,0.18,0.07
