BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,Low delay,Low Medium Delay,High Delay
1000,BPR,4132000216,929488,KAUSALYA AGENCIES,South,SBAD,RV,0.1,-5,ZZ36,Credit,63008692,31.12.2018,Dec,31-12-18,05-01-19,1221001,2019,0.0,0,Low Delay,0.47,0.53,0.0
1000,BPR,2412166200,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.17,5,ZZ41,Credit,63004701,30.12.2018,Dec,30-12-18,09-01-19,1221001,2019,0.0,0,No Delay,0.87,0.13,0.0
1000,BPR,2412166206,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.14,5,ZZ41,Credit,63004708,30.12.2018,Dec,30-12-18,09-01-19,1221001,2019,0.0,0,No Delay,0.86,0.14,0.0
1000,BPR,2412166209,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.12,5,ZZ41,Credit,63004711,30.12.2018,Dec,30-12-18,09-01-19,1221001,2019,0.0,0,No Delay,0.66,0.33,0.01
2500,BPR,2410325302,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.14,4,ZZ41,Credit,63009421,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,0.43,3,No Delay,0.59,0.41,0.0
9600,BPR,2147092066,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.15,5,ZZ30,Credit,63006351,30.12.2018,Dec,30-12-18,04-01-19,1221001,2019,2.12,14,Low Delay,0.22,0.78,0.0
9600,BPR,2146127522,924924,INDICOR STEEL PRIVATE LIMITED,South,SBAD,RV,0.16,5,ZZ38,Credit,64975227,23.12.2018,Dec,23-12-18,27-12-18,1221001,2019,2.17,13,No Delay,0.61,0.39,0.0
2000,BPR,2424231369,918574,M/S KISHAN LAL PAWAN KUMAR JAI,North,KANP,RV,0.24,5,ZZ30,Credit,63008392,31.12.2018,Dec,31-12-18,05-01-19,1221001,2019,0.0,0,No Delay,0.96,0.04,0.0
9600,BPR,2146127430,901635,INTEGRAL VYAPAR PVT LTD,East,BHUB,RV,0.15,5,ZZ33,Credit,64973151,22.12.2018,Dec,22-12-18,23-12-18,1221001,2019,0.94,6,Low Delay,0.0,0.75,0.25
9600,BPR,2146127343,901635,INTEGRAL VYAPAR PVT LTD,East,BHUB,RV,0.15,5,ZZ33,Credit,64970894,22.12.2018,Dec,22-12-18,23-12-18,1221001,2019,0.94,6,Low Delay,0.0,0.75,0.25
2500,BPR,2410324640,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.13,-1,ZZ41,Credit,64966842,20.12.2018,Dec,20-12-18,30-12-18,1221001,2019,0.97,7,No Delay,0.75,0.25,0.0
2000,BPR,2412166032,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.14,0,ZZ19,Credit,63004311,30.12.2018,Dec,30-12-18,09-01-19,1221001,2019,0.43,3,No Delay,0.67,0.33,0.0
2000,BPR,2412166667,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.14,0,ZZ19,Credit,63011095,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,0.14,1,No Delay,0.64,0.36,0.0
2000,BPR,2442038348,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.14,0,ZZ19,Credit,64970986,21.12.2018,Dec,21-12-18,31-12-18,1221001,2019,1.1,8,No Delay,0.65,0.35,0.0
2000,BPR,2412162652,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.14,0,ZZ19,Credit,64971079,21.12.2018,Dec,21-12-18,31-12-18,1221001,2019,1.1,8,No Delay,0.65,0.35,0.0
2000,BPR,2412162645,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.15,0,ZZ19,Credit,64971071,21.12.2018,Dec,21-12-18,31-12-18,1221001,2019,1.1,8,No Delay,0.53,0.47,0.0
9600,BPR,2147092067,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.15,0,ZZ42,Credit,63006352,30.12.2018,Dec,30-12-18,11-01-19,1221001,2019,2.12,14,Low Delay,0.32,0.68,0.0
1000,BPR,2412165311,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.11,1,ZZ42,Credit,64995817,28.12.2018,Dec,28-12-18,09-01-19,1221001,2019,1.71,11,Low Delay,0.18,0.82,0.0
1000,BPR,2412164906,822272,TATA STEEL PROCESSING,South,MADS,RV,0.13,5,ZZ81,Credit,64991435,27.12.2018,Dec,27-12-18,09-01-19,1221001,2019,4.38,43,No Delay,0.62,0.38,0.0
1000,BPR,2412164913,822272,TATA STEEL PROCESSING,South,MADS,RV,0.15,5,ZZ81,Credit,64991443,27.12.2018,Dec,27-12-18,09-01-19,1221001,2019,4.38,43,No Delay,0.83,0.15,0.02
1000,BPR,2412164926,822272,TATA STEEL PROCESSING,South,MADS,RV,0.15,5,ZZ81,Credit,64991460,27.12.2018,Dec,27-12-18,09-01-19,1221001,2019,4.38,43,No Delay,0.83,0.15,0.02
2000,BPR,2412162921,819097,BHAGWATI STEEL SALES,North,CDGH,RV,0.17,5,ZZ20,Credit,64971464,21.12.2018,Dec,21-12-18,02-01-19,1221001,2019,5.19,41,Low Delay,0.41,0.59,0.0
2000,BPR,2412162923,819097,BHAGWATI STEEL SALES,North,CDGH,RV,0.08,5,ZZ20,Credit,64971467,21.12.2018,Dec,21-12-18,02-01-19,1221001,2019,5.19,41,No Delay,0.78,0.22,0.0
2000,BPR,2412163018,819097,BHAGWATI STEEL SALES,North,CDGH,RV,0.17,5,ZZ20,Credit,64974522,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,5.78,47,No Delay,0.99,0.01,0.0
9600,BPR,2146128503,924924,INDICOR STEEL PRIVATE LIMITED,South,SBAD,RV,0.15,1,ZZ38,Credit,64995899,29.12.2018,Dec,29-12-18,02-01-19,1221001,2019,1.62,10,No Delay,0.58,0.42,0.0
9600,BPR,2146128743,924924,INDICOR STEEL PRIVATE LIMITED,South,SBAD,RV,0.15,1,ZZ38,Credit,63001241,30.12.2018,Dec,30-12-18,03-01-19,1221001,2019,2.07,13,No Delay,0.53,0.47,0.0
9600,BPR,2146128744,924924,INDICOR STEEL PRIVATE LIMITED,South,SBAD,RV,0.15,1,ZZ38,Credit,63001242,30.12.2018,Dec,30-12-18,03-01-19,1221001,2019,2.07,13,No Delay,0.53,0.47,0.0
9600,BPR,2146128483,924924,INDICOR STEEL PRIVATE LIMITED,South,SBAD,RV,0.15,2,ZZ38,Credit,64995673,28.12.2018,Dec,28-12-18,01-01-19,1221001,2019,1.47,9,No Delay,0.64,0.36,0.0
9600,BPR,2146128520,924924,INDICOR STEEL PRIVATE LIMITED,South,SBAD,RV,0.15,2,ZZ38,Credit,64996223,29.12.2018,Dec,29-12-18,02-01-19,1221001,2019,1.62,10,No Delay,0.58,0.42,0.0
9600,BPR,2146128575,924924,INDICOR STEEL PRIVATE LIMITED,South,SBAD,RV,0.15,2,ZZ38,Credit,64996946,29.12.2018,Dec,29-12-18,02-01-19,1221001,2019,1.62,10,No Delay,0.58,0.42,0.0
9600,BPR,2146128065,924924,INDICOR STEEL PRIVATE LIMITED,South,SBAD,RV,0.14,3,ZZ38,Credit,64986351,26.12.2018,Dec,26-12-18,30-12-18,1221001,2019,2.33,14,No Delay,0.66,0.33,0.01
9600,BPR,2471172351,817218,TATA STEEL PROCESSING,South,BANG,RV,0.12,5,ZZ30,Credit,63009929,31.12.2018,Dec,31-12-18,05-01-19,1221001,2019,0.67,5,Low Delay,0.41,0.58,0.0
9600,BPR,2471172361,817218,TATA STEEL PROCESSING,South,BANG,RV,0.13,5,ZZ30,Credit,63010086,31.12.2018,Dec,31-12-18,05-01-19,1221001,2019,0.67,5,No Delay,0.5,0.49,0.0
9600,BPR,2471172312,817218,TATA STEEL PROCESSING,South,BANG,RV,0.13,5,ZZ30,Credit,63007100,31.12.2018,Dec,31-12-18,05-01-19,1221001,2019,0.67,5,No Delay,0.5,0.49,0.0
9600,BPR,2471172349,817218,TATA STEEL PROCESSING,South,BANG,RV,0.13,5,ZZ30,Credit,63009835,31.12.2018,Dec,31-12-18,05-01-19,1221001,2019,0.67,5,No Delay,0.5,0.49,0.0
1000,BPR,2471172350,817218,TATA STEEL PROCESSING,South,BANG,RV,0.13,5,ZZ30,Credit,63009925,31.12.2018,Dec,31-12-18,05-01-19,1221001,2019,0.67,5,Low Delay,0.48,0.51,0.01
9600,BPR,2471172346,817218,TATA STEEL PROCESSING,South,BANG,RV,0.14,5,ZZ30,Credit,63009756,31.12.2018,Dec,31-12-18,05-01-19,1221001,2019,0.67,5,Low Delay,0.4,0.6,0.0
9600,BPR,2471172357,817218,TATA STEEL PROCESSING,South,BANG,RV,0.14,5,ZZ30,Credit,63009997,31.12.2018,Dec,31-12-18,05-01-19,1221001,2019,0.67,5,Low Delay,0.4,0.6,0.0
1000,BPR,2471172377,817218,TATA STEEL PROCESSING,South,BANG,RV,0.17,5,ZZ30,Credit,63010769,31.12.2018,Dec,31-12-18,05-01-19,1221001,2019,0.67,5,No Delay,0.69,0.3,0.01
2500,BPR,2410325282,814077,TATA STEEL PROCESSING,North,GBAD,RV,0.14,5,ZZ41,Credit,63007077,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,11.64,84,High Delay,0.26,0.12,0.61
2000,BPR,2412162536,814077,TATA STEEL PROCESSING,North,GBAD,RV,0.17,5,ZZ19,Credit,64970953,21.12.2018,Dec,21-12-18,31-12-18,1221001,2019,5.14,44,No Delay,0.7,0.07,0.23
2000,BPR,2412162538,814077,TATA STEEL PROCESSING,North,GBAD,RV,0.19,5,ZZ19,Credit,64970955,21.12.2018,Dec,21-12-18,31-12-18,1221001,2019,5.14,44,No Delay,0.71,0.07,0.22
2000,BPR,2412162542,814077,TATA STEEL PROCESSING,North,GBAD,RV,0.17,5,ZZ19,Credit,64970959,21.12.2018,Dec,21-12-18,31-12-18,1221001,2019,5.14,44,No Delay,0.7,0.07,0.23
2000,BPR,2412162548,814077,TATA STEEL PROCESSING,North,GBAD,RV,0.19,5,ZZ19,Credit,64970966,21.12.2018,Dec,21-12-18,31-12-18,1221001,2019,5.14,44,No Delay,0.71,0.07,0.22
2000,BPR,2412162574,814077,TATA STEEL PROCESSING,North,GBAD,RV,0.11,5,ZZ19,Credit,64970998,21.12.2018,Dec,21-12-18,31-12-18,1221001,2019,5.14,44,No Delay,0.75,0.07,0.18
1000,BPR,2412166251,814077,TATA STEEL PROCESSING,North,GBAD,RV,0.1,5,ZZ41,Credit,63007258,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,11.64,84,High Delay,0.32,0.16,0.52
2000,BPR,2412166252,814077,TATA STEEL PROCESSING,North,GBAD,RV,0.04,5,ZZ19,Credit,63007261,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,11.64,84,No Delay,0.54,0.12,0.34
