BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Clearing,Pending_Amy,pending_cnt,Prediction,Low delay,Low Medium Delay,High Delay,1st
1000,BPR,2452145761.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.14,0,Z001,Cash,64713538,11.10.2018,Oct,20181011,20181011,1221001,2019,20181110,0.14,1,2,0.43,0.06,0.51,No Payment
9600,BPR,2452145731.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.13,1,Z001,Cash,64710211,10.10.2018,Oct,20181010,20181010,1221001,2019,20181110,0.14,1,0,0.94,0.05,0.01,No Payment
9600,BPR,4130033185.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.17,0,Z001,Cash,64369315,12.07.2018,July,20180712,20180712,1221001,2019,20181207,0.0,0,0,0.96,0.03,0.01,No Payment
9600,BPR,4130032483.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.16,0,Z001,Cash,64253487,12.06.2018,June,20180612,20180612,1221001,2019,20181206,0.0,0,0,0.8,0.2,0.0,No Payment
9600,BPR,4130032482.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.13,0,Z001,Cash,64253477,12.06.2018,June,20180612,20180612,1221001,2019,20181206,0.0,0,0,0.68,0.3,0.03,No Payment
9600,BPR,4130035630.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.17,0,Z001,Cash,64714116,11.10.2018,Oct,20181011,20181011,1221001,2019,20181110,0.0,0,0,0.75,0.24,0.01,No Payment
9600,BPR,4130035648.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.17,0,Z001,Cash,64717934,12.10.2018,Oct,20181012,20181012,1221001,2019,20181210,0.0,0,0,0.75,0.24,0.01,No Payment
9600,BPR,4130035635.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.17,0,Z001,Cash,64714746,11.10.2018,Oct,20181011,20181011,1221001,2019,20181110,0.0,0,0,0.75,0.24,0.01,No Payment
9600,BPR,4130035634.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.16,0,Z001,Cash,64714729,11.10.2018,Oct,20181011,20181011,1221001,2019,20181110,0.0,0,0,0.66,0.33,0.01,No Payment
1000,BPR,4130035663.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.14,0,Z001,Cash,64719582,12.10.2018,Oct,20181012,20181012,1221001,2019,20181210,0.0,0,0,0.61,0.39,0.0,No Payment
