BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Clearing,Pending_Amy,pending_cnt,Low Delay_on_NetDUE,Medium Delay_on_NetDUE,High Delay_on_NetDUE,Actual,Prediction_on_NetDue,Prediction_on_Pstng,Low Delay_on_Pstng,Low Medium Delay_on_Pstng,High Delay_on_Pstng,Payment
9600,BPR,2146123883.0,927878,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.12,0,ZZ30,Credit,64891923,29.11.2018,Nov,20181129,20181204,1221001,2019,20181204,0.0,0,0.72,0.24,0.05,3,0,1,0.03,0.89,0.08,Yes
2000,BPR,2412154453.0,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.15,0,ZZ19,Credit,64876277,24.11.2018,Nov,20181124,20181204,1221001,2019,20181204,1.6,16,0.95,0.05,0.0,3,0,1,0.0,1.0,0.0,Yes
2000,BPR,2412153786.0,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.15,0,ZZ19,Credit,64871354,24.11.2018,Nov,20181124,20181204,1221001,2019,20181204,1.6,16,0.95,0.05,0.0,3,0,1,0.0,1.0,0.0,Yes
1000,BPR,2412152788.0,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.11,2,ZZ41,Credit,64858823,21.11.2018,Nov,20181121,20181201,1221001,2019,20181203,1.5,18,0.62,0.38,0.0,2,0,1,0.02,0.98,0.01,Yes
1000,BPR,2412152786.0,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.11,2,ZZ41,Credit,64858821,21.11.2018,Nov,20181121,20181201,1221001,2019,20181203,1.5,18,0.62,0.38,0.0,2,0,1,0.02,0.98,0.01,Yes
1000,BPR,2412152757.0,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.13,2,ZZ41,Credit,64858791,21.11.2018,Nov,20181121,20181201,1221001,2019,20181203,1.5,18,0.63,0.37,0.0,2,0,1,0.02,0.98,0.01,Yes
1000,BPR,2412152781.0,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.13,2,ZZ41,Credit,64858816,21.11.2018,Nov,20181121,20181201,1221001,2019,20181203,1.5,18,0.63,0.37,0.0,2,0,1,0.02,0.98,0.01,Yes
1000,BPR,2412152801.0,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.14,2,ZZ41,Credit,64858837,21.11.2018,Nov,20181121,20181201,1221001,2019,20181203,1.5,18,0.67,0.33,0.0,2,0,1,0.02,0.98,0.01,Yes
1000,BPR,2431597760.0,901635,INTEGRAL VYAPAR PVT LTD,East,BHUB,RV,0.1,1,ZZ29,Credit,64899587,30.11.2018,Nov,20181130,20181203,1221001,2019,20181204,0.0,0,0.78,0.12,0.09,3,0,0,0.77,0.23,0.0,Yes
1000,BPR,2431598187.0,901635,INTEGRAL VYAPAR PVT LTD,East,BHUB,RV,0.1,1,ZZ29,Credit,64905224,30.11.2018,Nov,20181130,20181203,1221001,2019,20181204,0.0,0,0.78,0.12,0.09,3,0,0,0.77,0.23,0.0,Yes
