BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Clearing,Pending_Amy,pending_cnt,Low Delay_on_NetDUE,Medium Delay_on_NetDUE,High Delay_on_NetDUE,Actual,Prediction_on_NetDue,Prediction_on_Pstng,Low Delay_on_Pstng,Low Medium Delay_on_Pstng,High Delay_on_Pstng,Payment
9600,BPR,1115501955,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.04,5,ZZ41,Credit,64792344,31.10.2018,Oct,20181031,20181110,1221001,2019,20181115,0.6,4,0.49,0.51,0,14,1,2,0.26,0.25,0.43,
1000,BPR,2412144336,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.14,5,ZZ41,Credit,64793901,31.10.2018,Oct,20181031,20181110,1221001,2019,20181115,0.6,4,0.42,0.57,0,14,1,2,0.26,0.23,0.45,
9600,BPR,2146119228,924924,INDICOR STEEL PRIVATE LIMITED,South,SBAD,RV,0.17,5,ZZ42,Credit,64778363,30.10.2018,Oct,20181030,20181111,1221001,2019,20181116,0.67,4,0.42,0.26,0.32,15,0,2,0.01,0.44,0.54,
2000,BPR,2418202652,828300,SILIGURI BUILDERS PVT. LTD.,East,CALS,RV,0.06,5,ZZ16,Credit,64794530,31.10.2018,Oct,20181031,20181104,1221001,2019,20181109,0.22,1,0.99,0.01,0,8,0,0,0.56,0.44,0,Yes
2000,BPR,2418202651,828300,SILIGURI BUILDERS PVT. LTD.,East,CALS,RV,0.26,5,ZZ16,Credit,64794529,31.10.2018,Oct,20181031,20181104,1221001,2019,20181109,0.22,1,0.97,0.03,0,8,0,0,0.57,0.43,0,Yes
2000,BPR,2418202649,828300,SILIGURI BUILDERS PVT. LTD.,East,CALS,RV,0.31,5,ZZ16,Credit,64790769,31.10.2018,Oct,20181031,20181104,1221001,2019,20181109,0.22,1,0.96,0.03,0,8,0,0,0.58,0.42,0,Yes
1000,BPR,2412142588,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.14,-6,ZZ41,Credit,64775370,29.10.2018,Oct,20181029,20181108,1221001,2019,20181102,1.75,11,0.77,0.19,0.03,1,0,1,0,1,0,
1000,BPR,2412142589,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.14,-6,ZZ41,Credit,64775371,29.10.2018,Oct,20181029,20181108,1221001,2019,20181102,1.75,11,0.77,0.19,0.03,1,0,1,0,1,0,
2000,BPR,2412141665,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.15,-4,ZZ19,Credit,64768825,27.10.2018,Oct,20181027,20181106,1221001,2019,20181102,1.6,10,0.96,0.04,0,1,0,1,0,1,0,
1000,BPR,2412143783,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.12,-1,ZZ41,Credit,64787419,31.10.2018,Oct,20181031,20181110,1221001,2019,20181109,1.5,10,0.75,0.22,0.03,8,0,0,0.65,0.35,0.01,Yes
1000,BPR,2412143816,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.12,-1,ZZ41,Credit,64787614,31.10.2018,Oct,20181031,20181110,1221001,2019,20181109,1.5,10,0.75,0.22,0.03,8,0,0,0.65,0.35,0.01,Yes
2000,BPR,2412143327,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.18,0,ZZ19,Credit,64782284,30.10.2018,Oct,20181030,20181109,1221001,2019,20181109,1.74,11,0.91,0.09,0,8,0,1,0,1,0,
2000,BPR,2412143335,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.18,0,ZZ19,Credit,64782293,30.10.2018,Oct,20181030,20181109,1221001,2019,20181109,1.74,11,0.91,0.09,0,8,0,1,0,1,0,
2000,BPR,2412143315,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.17,0,ZZ19,Credit,64782266,30.10.2018,Oct,20181030,20181109,1221001,2019,20181109,1.74,11,0.91,0.09,0,8,0,1,0,1,0,
2000,BPR,2426110416,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.14,0,ZZ19,Credit,64778407,30.10.2018,Oct,20181030,20181109,1221001,2019,20181109,1.74,11,0.88,0.12,0,8,0,1,0,1,0,
2000,BPR,2426110448,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.07,0,ZZ19,Credit,64781803,30.10.2018,Oct,20181030,20181109,1221001,2019,20181109,1.74,11,0.88,0.12,0,8,0,1,0,1,0,
1000,BPR,2412143818,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.12,3,ZZ41,Credit,64787616,31.10.2018,Oct,20181031,20181110,1221001,2019,20181113,1.5,10,0.75,0.22,0.03,12,0,0,0.65,0.35,0.01,Yes
1000,BPR,2412143817,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.12,3,ZZ41,Credit,64787615,31.10.2018,Oct,20181031,20181110,1221001,2019,20181113,1.5,10,0.75,0.22,0.03,12,0,0,0.65,0.35,0.01,Yes
9600,BPR,2146118869,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.17,0,ZZ42,Credit,64770320,28.10.2018,Oct,20181028,20181109,1221001,2019,20181109,1,6,0.59,0.32,0.09,8,0,2,0.01,0.34,0.64,
2000,BPR,2426110468,819097,BHAGWATI STEEL SALES,North,CDGH,RV,0.21,5,ZZ20,Credit,64784667,31.10.2018,Oct,20181031,20181112,1221001,2019,20181117,6.97,44,0.93,0.07,0,16,0,0,0.51,0.49,0,Yes
1000,BPR,2412143961,819097,BHAGWATI STEEL SALES,North,CDGH,RV,0.13,5,ZZ09,Credit,64791605,31.10.2018,Oct,20181031,20181109,1221001,2019,20181114,6.97,44,0.78,0.22,0,13,0,0,0.51,0.49,0,Yes
1000,BPR,2412143960,819097,BHAGWATI STEEL SALES,North,CDGH,RV,0.15,5,ZZ09,Credit,64791603,31.10.2018,Oct,20181031,20181109,1221001,2019,20181114,6.97,44,0.79,0.21,0,13,0,0,0.51,0.49,0,Yes
2000,BPR,2442037784,819097,BHAGWATI STEEL SALES,North,CDGH,RV,0.16,5,ZZ20,Credit,64791624,31.10.2018,Oct,20181031,20181112,1221001,2019,20181117,6.97,44,0.96,0.04,0,16,0,0,0.53,0.47,0,Yes
1000,BPR,2412144015,819097,BHAGWATI STEEL SALES,North,CDGH,RV,0.17,5,ZZ09,Credit,64791725,31.10.2018,Oct,20181031,20181109,1221001,2019,20181114,6.97,44,0.77,0.23,0,13,0,0,0.51,0.49,0,Yes
9600,BPR,2146119864,817218,TATA STEEL PROCESSING,South,BANG,RV,0.18,5,ZZ32,Credit,64794516,31.10.2018,Oct,20181031,20181107,1221001,2019,20181112,1.13,7,0.85,0.15,0,11,0,1,0.38,0.62,0,
9600,BPR,2146118024,854773,ANM ISPAT PVT LTD,West,AMED,RV,0.16,0,ZZ41,Credit,64750460,23.10.2018,Oct,20181023,20181102,1221001,2019,20181102,1.35,9,1,0,0,1,0,1,0,0.98,0.02,Yes
9600,BPR,2146118100,854773,ANM ISPAT PVT LTD,West,AMED,RV,0.16,0,ZZ41,Credit,64752406,23.10.2018,Oct,20181023,20181102,1221001,2019,20181102,1.35,9,1,0,0,1,0,1,0,0.98,0.02,Yes
