BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Clearing,Pending_Amy,pending_cnt,Low Delay_on_NetDUE,Medium Delay_on_NetDUE,High Delay_on_NetDUE,Actual,Prediction_on_NetDue,Prediction_on_Pstng,Low Delay_on_Pstng,Low Medium Delay_on_Pstng,High Delay_on_Pstng,Payment
2000,BPR,2438085168.0,856737,BAJRANG STEEL (SALES) CORPORAT,East,GWAH,RV,0.16,0,ZZ16,Credit,64667757,29.09.2018,Sep,20180929,20181003,1221001,2019,20181003,0.28,2,0.85,0.14,0.02,2,0,1,0.1,0.9,0.0,Yes
2000,BPR,2438085166.0,856737,BAJRANG STEEL (SALES) CORPORAT,East,GWAH,RV,0.11,0,ZZ16,Credit,64667414,29.09.2018,Sep,20180929,20181003,1221001,2019,20181003,0.28,2,0.86,0.12,0.02,2,0,1,0.12,0.88,0.0,Yes
2000,BPR,2473281326.0,117556,S C SHETTAR AND SONS,South,BANG,RV,0.05,0,ZZ34,Credit,64674926,30.09.2018,Sep,20180930,20181002,1221001,2019,20181002,0.25,1,0.78,0.2,0.01,1,0,1,0.49,0.51,0.0,Yes
2000,BPR,2473281322.0,117556,S C SHETTAR AND SONS,South,BANG,RV,0.1,0,ZZ34,Credit,64674804,30.09.2018,Sep,20180930,20181002,1221001,2019,20181002,0.25,1,0.79,0.2,0.01,1,0,1,0.48,0.52,0.0,Yes
2000,BPR,2473281321.0,117556,S C SHETTAR AND SONS,South,BANG,RV,0.07,0,ZZ34,Credit,64674799,30.09.2018,Sep,20180930,20181002,1221001,2019,20181002,0.25,1,0.79,0.2,0.01,1,0,0,0.5,0.5,0.0,Yes
2000,BPR,2473281304.0,117556,S C SHETTAR AND SONS,South,BANG,RV,0.06,0,ZZ34,Credit,64673186,30.09.2018,Sep,20180930,20181002,1221001,2019,20181002,0.25,1,0.79,0.2,0.01,1,0,1,0.49,0.51,0.0,Yes
2000,BPR,2473281303.0,117556,S C SHETTAR AND SONS,South,BANG,RV,0.09,0,ZZ34,Credit,64673176,30.09.2018,Sep,20180930,20181002,1221001,2019,20181002,0.25,1,0.79,0.2,0.01,1,0,1,0.48,0.52,0.0,Yes
2000,BPR,2426108759.0,117556,S C SHETTAR AND SONS,South,BANG,RV,0.25,0,ZZ19,Credit,64638145,23.09.2018,Sep,20180923,20181003,1221001,2019,20181003,1.22,7,0.91,0.09,0.0,2,0,1,0.03,0.97,0.0,Yes
9600,BPR,2146113163.0,115806,NARESH STEEL INDUSTRIES PVT. L,West,BOMB,RV,0.15,0,ZZ40,Credit,64645828,25.09.2018,Sep,20180925,20181003,1221001,2019,20181003,8.57,59,1.0,0.0,0.0,2,0,1,0.0,1.0,0.0,Yes
1000,BPR,2412126963.0,115806,NARESH STEEL INDUSTRIES PVT. L,West,BOMB,RV,0.07,0,ZZ41,Credit,64637186,23.09.2018,Sep,20180923,20181003,1221001,2019,20181003,9.58,67,1.0,0.0,0.0,2,0,1,0.0,1.0,0.0,Yes
2000,BPR,2412126969.0,115806,NARESH STEEL INDUSTRIES PVT. L,West,BOMB,RV,0.16,0,ZZ19,Credit,64637192,23.09.2018,Sep,20180923,20181003,1221001,2019,20181003,9.58,67,1.0,0.0,0.0,2,0,1,0.0,1.0,0.0,Yes
2000,BPR,2412126971.0,115806,NARESH STEEL INDUSTRIES PVT. L,West,BOMB,RV,0.16,0,ZZ19,Credit,64637194,23.09.2018,Sep,20180923,20181003,1221001,2019,20181003,9.58,67,1.0,0.0,0.0,2,0,1,0.0,1.0,0.0,Yes
2000,BPR,2412126973.0,115806,NARESH STEEL INDUSTRIES PVT. L,West,BOMB,RV,0.17,0,ZZ19,Credit,64637197,23.09.2018,Sep,20180923,20181003,1221001,2019,20181003,9.58,67,1.0,0.0,0.0,2,0,1,0.0,1.0,0.0,Yes
1000,BPR,2412126983.0,115806,NARESH STEEL INDUSTRIES PVT. L,West,BOMB,RV,0.16,0,ZZ41,Credit,64637208,23.09.2018,Sep,20180923,20181003,1221001,2019,20181003,9.58,67,1.0,0.0,0.0,2,0,1,0.0,1.0,0.0,Yes
1000,BPR,2412126984.0,115806,NARESH STEEL INDUSTRIES PVT. L,West,BOMB,RV,0.17,0,ZZ41,Credit,64637209,23.09.2018,Sep,20180923,20181003,1221001,2019,20181003,9.58,67,1.0,0.0,0.0,2,0,1,0.0,1.0,0.0,Yes
2000,BPR,2442037060.0,115806,NARESH STEEL INDUSTRIES PVT. L,West,BOMB,RV,0.14,0,ZZ19,Credit,64637182,23.09.2018,Sep,20180923,20181003,1221001,2019,20181003,9.58,67,1.0,0.0,0.0,2,0,1,0.0,1.0,0.0,Yes
