Month,Week,Account,Customer.Name,Zone,Bran,Actual NR,Actual Volume
Apr-18,13,102457,SANJEEV INDUSTRIAL CORPORATION,NORTH,FBAD,43173,122
Apr-18,13,103671,BAJRANG STEEL (SALES) CORPORATION,EAST,GWAH,57033,26
Apr-18,13,115806,NARESH STEEL INDUSTRIES PVT. LTD.,WEST,BOMB,45777,24
Apr-18,13,116735,RAKESH STEELS,NORTH,FBAD,42901,49
Apr-18,13,117556,S C SHETTAR AND SONS,SOUTH,BANG,54506,32
Apr-18,13,120612,SKM STEELS LIMITED(CRCADIVISION),WEST,BOMB,46777,23
Apr-18,13,120612,SKM STEELS LIMITED(CRCADIVISION),WEST,BOMB,43754,48
Apr-18,13,121328,RS BOKARO METAL (P) LTD.,EAST,JAMS,56749,9
Apr-18,13,121328,RS BOKARO METAL (P) LTD.,EAST,JAMS,57929,9
Apr-18,13,151727,PAUL & COMPANY STEEL MERCHANTS PRIVATE L,EAST,CALS,48160,27
Apr-18,13,154632,TATA STEEL PROCESSING,NORTH,FBAD,42000,23
Apr-18,13,154641,TATA STEEL PROCESSING,WEST,PUNE,36650,24
Apr-18,13,161834,PSPL STEEL PROCESSORS PVT. LIMITED,EAST,JAMS,41668,253
Apr-18,13,804101,SM CORPORATION LTD (BV),EAST,GWAH,46197,26
Apr-18,13,925879,HST STEELS PRIVATE LIMITED,SOUTH,SBAD,30850,24
Apr-18,14,100237,RAMSAROOP & SONS,SOUTH,BANG,56737,34
Apr-18,14,100237,RAMSAROOP & SONS,SOUTH,BANG,57282,10
Apr-18,14,100237,RAMSAROOP & SONS,SOUTH,BANG,45105,210
Apr-18,14,100237,RAMSAROOP & SONS,SOUTH,BANG,44879,75
Apr-18,14,100237,RAMSAROOP & SONS,SOUTH,BANG,44884,214
Apr-18,14,100237,RAMSAROOP & SONS,SOUTH,BANG,44500,48
Apr-18,14,100645,ROHIT & COMPANY,WEST,AMED,48569,427
Apr-18,14,100645,ROHIT & COMPANY,WEST,AMED,42401,241
Apr-18,14,100922,BUBNA COMMERCIAL CO.,EAST,CALS,55090,24
Apr-18,14,100922,BUBNA COMMERCIAL CO.,EAST,CALS,64508,56
Apr-18,14,100922,BUBNA COMMERCIAL CO.,EAST,CALS,1505,21
Apr-18,14,100922,BUBNA COMMERCIAL CO.,EAST,CALS,35839,16
Apr-18,14,100985,DESON MARKETING (PVT) LTD.,EAST,CALS,48405,215
Apr-18,14,101186,NANDAN SAHA STEEL PVT. LTD.,EAST,CALS,48775,134
Apr-18,14,101297,AMIT IRON PVT. LTD,EAST,CALS,42027,586
Apr-18,14,101446,BANSAL BROTHERS,NORTH,DELI,48865,70
Apr-18,14,101446,BANSAL BROTHERS,NORTH,FBAD,40000,23
Apr-18,14,101499,G.R. GUPTA & BROS.,NORTH,DELI,48158,24
Apr-18,14,101499,G.R. GUPTA & BROS.,NORTH,DELI,47411,105
Apr-18,14,102000,M/S.DHARAMVIR & BROTHERS,NORTH,LUDH,46541,81
Apr-18,14,102000,M/S.DHARAMVIR & BROTHERS,NORTH,LUDH,43248,330
Apr-18,14,102084,DEVI DAYAL HARI KISHAN,NORTH,KANP,60531,53
Apr-18,14,102084,DEVI DAYAL HARI KISHAN,NORTH,KANP,38862,147
Apr-18,14,102153,M/S KISHAN LAL PAWAN KUMAR JAIN,NORTH,KANP,46825,419
Apr-18,14,102431,HANS RAJ STEELS,NORTH,FBAD,40308,664
Apr-18,14,102431,HANS RAJ STEELS,NORTH,FBAD,45066,47
Apr-18,14,102457,SANJEEV INDUSTRIAL CORPORATION,NORTH,FBAD,48604,176
Apr-18,14,102457,SANJEEV INDUSTRIAL CORPORATION,NORTH,FBAD,40882,731
Apr-18,14,102457,SANJEEV INDUSTRIAL CORPORATION,NORTH,FBAD,45331,94
Apr-18,14,102457,SANJEEV INDUSTRIAL CORPORATION,NORTH,FBAD,39500,19
Apr-18,14,102888,THIRUPATHY STEELS,SOUTH,MADS,46346,23
Apr-18,14,103092,TEJRAM RAMNIWAS AGARWAL,WEST,NPUR,50210,18
Apr-18,14,103092,TEJRAM RAMNIWAS AGARWAL,WEST,NPUR,42386,183
Apr-18,14,103092,TEJRAM RAMNIWAS AGARWAL,WEST,NPUR,43260,24
Apr-18,14,103227,BMW VENTURES LTD.,EAST,JAMS,61413,174
Apr-18,14,103227,BMW VENTURES LTD.,EAST,PATN,61678,140
Apr-18,14,103227,BMW VENTURES LTD.,EAST,JAMS,42087,28
Apr-18,14,103374,KAUSALYA AGENCIES,EAST,BHUB,60097,34
Apr-18,14,103423,ORISSA SMALL INDUSTRIES CORPORATION,EAST,BHUB,47962,874
Apr-18,14,103620,SILIGURI BUILDERS PVT. LTD.,EAST,CALS,47493,311
Apr-18,14,103671,BAJRANG STEEL (SALES) CORPORATION,EAST,GWAH,60712,168
Apr-18,14,104485,SANGEETA STEEL CORPORATION,NORTH,LUDH,48214,112
Apr-18,14,104485,SANGEETA STEEL CORPORATION,NORTH,LUDH,41398,646
Apr-18,14,104485,SANGEETA STEEL CORPORATION,NORTH,LUDH,44677,75
Apr-18,14,114602,SAHA STEEL PVT. LTD.,EAST,CALS,64703,83
Apr-18,14,114661,SHRI RAM MULTICOM,EAST,CALS,48617,366
Apr-18,14,115048,SHRI RAM SALES,EAST,JAMS,63741,61
Apr-18,14,115048,SHRI RAM SALES,EAST,JAMS,48360,344
Apr-18,14,115189,EMPIRE STEELS,NORTH,CDGH,44051,30
Apr-18,14,115190,SHEYRUB AGENCIES,NORTH,LUDH,35175,29
Apr-18,14,115806,NARESH STEEL INDUSTRIES PVT. LTD.,WEST,BOMB,48946,828
Apr-18,14,115806,NARESH STEEL INDUSTRIES PVT. LTD.,WEST,BOMB,41072,708
Apr-18,14,115806,NARESH STEEL INDUSTRIES PVT. LTD.,WEST,BOMB,47000,256
Apr-18,14,115841,O.V.S. ISPAT UDYOG,NORTH,KANP,48653,92
Apr-18,14,115841,O.V.S. ISPAT UDYOG,NORTH,KANP,43078,25
Apr-18,14,116137,PELIKAN DOSSIER PRIVATE LIMITED,NORTH,JPUR,49241,74
Apr-18,14,116137,PELIKAN DOSSIER PRIVATE LIMITED,NORTH,JPUR,43551,246
Apr-18,14,116156,FAIRDEAL STEELS PVT.LTD.,NORTH,DELI,41566,271
Apr-18,14,116465,SRI BALAJI STEEL TRADERS,SOUTH,MADS,46990,358
Apr-18,14,116465,SRI BALAJI STEEL TRADERS,SOUTH,MADS,42945,187
Apr-18,14,116649,SAGAR STEELS,EAST,GWAH,46920,23
Apr-18,14,116649,SAGAR STEELS,EAST,GWAH,44536,146
Apr-18,14,116650,KUMMENCHERY STEELS,SOUTH,MADS,45299,22
Apr-18,14,116650,KUMMENCHERY STEELS,SOUTH,COCH,47168,61
Apr-18,14,116734,R.S. STEELS,NORTH,GBAD,48118,249
Apr-18,14,116734,R.S. STEELS,NORTH,GBAD,45643,17
Apr-18,14,116735,RAKESH STEELS,NORTH,FBAD,57173,11
Apr-18,14,116735,RAKESH STEELS,NORTH,FBAD,49736,59
Apr-18,14,116735,RAKESH STEELS,NORTH,FBAD,48711,505
Apr-18,14,116735,RAKESH STEELS,NORTH,FBAD,40886,938
Apr-18,14,116735,RAKESH STEELS,NORTH,FBAD,44661,98
Apr-18,14,116936,PUNJAB AGRO IMPLEMENTS WORKS,NORTH,LUDH,47962,53
Apr-18,14,116936,PUNJAB AGRO IMPLEMENTS WORKS,NORTH,LUDH,43671,517
Apr-18,14,117061,BHARTIA  DISTRIBUTORS PVT. LTD.,EAST,BHUB,55731,19
Apr-18,14,117061,BHARTIA  DISTRIBUTORS PVT. LTD.,EAST,BHUB,62520,37
Apr-18,14,117061,BHARTIA  DISTRIBUTORS PVT. LTD.,EAST,BHUB,55419,21
Apr-18,14,117181,NEELKANTH STEEL&ALLOYS - GBAD,NORTH,DELI,46973,348
Apr-18,14,117281,MRH ASSOCIATES,NORTH,CDGH,46841,252
Apr-18,14,117556,S C SHETTAR AND SONS,SOUTH,BANG,54829,33
Apr-18,14,117583,BIHANI ENTERPRISES,NORTH,JPUR,61184,120
Apr-18,14,117583,BIHANI ENTERPRISES,NORTH,JPUR,46676,23
Apr-18,14,119487,INDU CORPORATION PRIVATE LIMITED,WEST,BOMB,45259,161
Apr-18,14,120296,MAHARASHTRA METAL INDUSTRIES PVT LTD,WEST,BOMB,55229,49
Apr-18,14,120612,SKM STEELS LIMITED(CRCADIVISION),WEST,BOMB,49796,315
Apr-18,14,120612,SKM STEELS LIMITED(CRCADIVISION),WEST,BOMB,40665,309
Apr-18,14,120612,SKM STEELS LIMITED(CRCADIVISION),WEST,BOMB,44901,299
Apr-18,14,120612,SKM STEELS LIMITED(CRCADIVISION),WEST,BOMB,47071,72
Apr-18,14,120961,SKM STEELS LTD,WEST,INDR,48348,164
Apr-18,14,120961,SKM STEELS LTD,WEST,INDR,43324,135
Apr-18,14,120961,SKM STEELS LTD,WEST,INDR,38155,140
Apr-18,14,121328,RS BOKARO METAL (P) LTD.,EAST,JAMS,51574,17
Apr-18,14,121328,RS BOKARO METAL (P) LTD.,EAST,JAMS,53102,144
Apr-18,14,121328,RS BOKARO METAL (P) LTD.,EAST,JAMS,58917,9
Apr-18,14,121328,RS BOKARO METAL (P) LTD.,EAST,JAMS,47385,33
Apr-18,14,121328,RS BOKARO METAL (P) LTD.,EAST,JAMS,41353,956
Apr-18,14,121377,R.G.STEEL & CO.,EAST,CALS,48403,309
Apr-18,14,121899,V.N.C STEEL DISTRIBUTORS,SOUTH,MADS,46686,688
Apr-18,14,122331,ANISH ENTERPRISE,WEST,NPUR,57746,26
Apr-18,14,122963,DEVI DAYAL HARI KISHAN,WEST,INDR,56412,150
Apr-18,14,123052,G R GUPTA & BROS,NORTH,GBAD,57660,78
